time_s,v_mean,v_std,user00,user01,user02,user10,user11,user12
1817,-0.071091204,0.140950555,-0.135681719,-0.036775853,-0.231513381,-0.075795963,0.212357625,-0.159137934
1818,,,,,,,,
1819,,,,,,,,
1820,,,,,,,,
1821,-0.100582046,0.123094433,-0.114092276,-0.113709629,-0.285729408,0.014606595,0.086181313,-0.19074887
1822,,,,,,,,
1823,-0.149792007,0.113905164,-0.106341854,-0.074305966,-0.256074965,-0.153976411,0.017599368,-0.325652212
1824,-0.093956751,0.100059069,-0.104575634,-0.057605591,-0.175712779,-0.089167163,0.090747222,-0.227426559
1825,-0.101275429,0.125173652,-0.115191326,-0.147952572,-0.192775398,-0.122104555,0.16941528,-0.199044004
1826,-0.089651665,0.113097968,-0.110787645,0.003874533,-0.195391819,-0.154501542,0.113306835,-0.194410354
1827,-0.14002074,0.051870113,-0.113267943,-0.183438703,-0.172366947,-0.136793718,-0.041506391,-0.192750737
1828,-0.154406463,0.066749687,-0.123614848,-0.15569672,-0.191513211,-0.095060095,-0.081418797,-0.279135108
1829,-0.107302384,0.088336466,-0.121377915,-0.075203046,-0.170490161,-0.166532442,0.072647415,-0.182858154
1830,-0.110706327,0.111907414,-0.124621391,-0.08439301,-0.173259392,-0.195055142,0.121136457,-0.208045483
1831,,,,,,,,
1832,,,,,,,,
1833,-0.072923375,0.158098071,-0.120476246,0.093355626,-0.185479522,-0.114086881,0.17379427,-0.284647495
1834,-0.042100087,0.135064276,-0.13261199,0.010655131,-0.17094788,0.065854654,0.172296062,-0.197846502
1835,-0.088083801,0.129390937,-0.131131619,-0.1798466,-0.130064547,-0.052629944,0.179016948,-0.213847041
1836,-0.081741137,0.124969685,-0.136532038,-0.154738069,-0.177589297,-0.1188391,0.191488907,-0.094237223
1837,-0.059675825,0.149873841,-0.128465369,0.050637007,-0.175372377,-0.105569765,0.218500018,-0.217784464
1838,-0.107946329,0.149283444,-0.099087059,-0.302098602,-0.128031775,-0.098280191,0.185218781,-0.205399126
1839,-0.099277175,0.140046338,-0.10951151,0.024330813,-0.240177214,-0.124866843,0.127750143,-0.273188442
1840,-0.061526818,0.106914128,-0.10898833,-0.014736488,-0.194893837,-0.111596778,0.146501794,-0.085447267
1841,-0.071521085,0.126830076,-0.112690791,-0.09580557,-0.172827393,-0.03714646,0.187055498,-0.197711796
1842,-0.084691663,0.079175954,-0.109013945,-0.134473935,-0.162735984,-0.04191279,0.071583927,-0.131597251
1843,-0.088867887,0.080387298,-0.110529199,-0.078992337,-0.131434664,-0.180506811,0.07723958,-0.108983889
1844,-0.060414089,0.102037059,-0.120582327,-0.088513106,-0.11770913,-0.0595516,0.160776526,-0.136904895
1845,-0.079605322,0.126694076,-0.109748274,-0.186670721,-0.15300037,0.011649437,0.15769279,-0.197554797
1846,-0.061016232,0.121556221,-0.124719486,0.011997322,-0.169247776,-0.056400862,0.163737714,-0.191464305
1847,-0.079277314,0.135426535,-0.133998558,-0.14888972,-0.150861949,-0.033028673,0.200176641,-0.209061623
1848,,,,,,,,
1849,-0.142517583,0.155572283,-0.130730465,-0.391207069,-0.208516806,0.071238399,0.022906428,-0.218795985
1850,-0.172297376,0.163346454,-0.121972352,-0.402234316,-0.216014087,-0.179195315,0.138043866,-0.252412051
1851,-0.122274426,0.125573235,-0.14775449,-0.223142773,-0.184728131,-0.121951967,0.148211405,-0.2042806
1852,-0.163954111,0.162807161,-0.143883824,-0.374764383,-0.293578744,-0.110827222,0.141216829,-0.201887324
1853,-0.168916065,0.187307797,-0.132752851,-0.519532382,-0.167098254,-0.060575757,0.097024798,-0.230561942
