time_s,rppg_mean,rppg_std,user00,user10,user01
96.88,-0.044496333,0.272547444,0,-0.336554,0.203065
96.92,0.054763167,0.178041132,0,-0.0894635,0.253753
96.96,0.172908333,0.150336171,0,0.272704,0.246021
97,0.225296667,0.258562979,0,0.507609,0.168281
97.04,0.035660533,0.047211931,0,0.0177807,0.0892009
97.08,0.1545738,0.235013763,0,0.425023,0.0386984
97.12,0.015746327,0.030698048,0,-0.00388342,0.0511224
97.16,0.008704733,0.061209493,0,-0.0476864,0.0738006
97.2,-0.044769467,0.165241763,0,-0.227783,0.0934746
97.24,-0.0612977,0.180941831,0,-0.264926,0.0810329
97.28,-0.051220567,0.135192572,0,-0.204539,0.0508773
97.32,-0.037741717,0.063016703,0,-0.11049,-0.00273515
97.36,0.0012154,0.013563403,0,0.0153456,-0.0116994
97.4,0.012940683,0.026852509,0,0.0438131,-0.00499105
97.44,-0.007374087,0.01851254,0,-0.0284373,0.00631504
97.48,-0.036131243,0.067041321,0,-0.113488,0.00509427
97.52,-0.057031283,0.093240101,0,-0.164631,-0.00646285
97.56,-0.0643658,0.092664265,0,-0.170572,-0.0225254
97.6,-0.0413057,0.057375092,0,-0.106817,-0.0171001
97.64,-0.032336733,0.043852489,0,-0.0147591,-0.0822511
97.68,-0.040147267,0.079545921,0,0.0113242,-0.131766
97.72,-0.0482219,0.101576032,0,0.0202613,-0.164927
97.76,-0.05433074,0.087616732,0,-0.00758522,-0.155407
97.8,-0.0567585,0.054836452,0,-0.0608295,-0.109446
97.84,-0.075538667,0.066277709,0,-0.123946,-0.10267
97.88,-0.078217333,0.069455419,0,-0.132675,-0.101977
97.92,-0.071146067,0.062016996,0,-0.113775,-0.0996632
97.96,-0.0555408,0.049052866,0,-0.0736884,-0.092934
98,-0.0359812,0.039867748,0,-0.0291031,-0.0788405
98.04,-0.002007033,0.05404031,0,0.0510018,-0.0570229
98.08,-0.014241,0.016562202,0,-0.010307,-0.032416
98.12,0.080060127,0.143708696,0,0.245967,-0.00578662
98.16,0.10366313,0.171090026,0,0.301139,0.00985039
98.2,0.11373899,0.190433035,0,0.333588,0.00762897
98.24,0.105535933,0.163961635,0,0.294429,0.0221788
98.28,0.087231867,0.126703767,0,0.232567,0.0291286
98.32,0.071386433,0.074829889,0,0.14924,0.0649193
98.36,0.0418971,0.036660693,0,0.0576034,0.0680879
98.4,0.048301043,0.08974327,0,-0.00694687,0.15185
98.44,-0.025271333,0.035883191,0,-0.0663433,-0.0094707
98.48,0.090310267,0.137153825,0,0.0227968,0.248134
98.52,0.061969533,0.158167804,0,-0.0558304,0.241739
98.56,0.052711,0.102252773,0,-0.012431,0.170564
98.6,0.0124107,0.042973333,0,-0.0229915,0.0602236
98.64,-0.004509867,0.018510531,0,-0.0248586,0.011329
98.68,0.002962967,0.01817599,0,0.0224384,-0.0135495
98.72,0.002734203,0.006536187,0,-0.00199089,0.0101935
98.76,0.028286067,0.027604426,0,0.0551542,0.029704
98.8,0.031426167,0.030413788,0,0.0335637,0.0607148
98.84,0.016522017,0.031958531,0,-0.00379345,0.0533595
98.88,-0.0060397,0.032204353,0,-0.0408363,0.0227172
98.92,-0.021871173,0.03444251,0,-0.0615735,-0.00404002
98.96,-0.0135136,0.012602254,0,-0.0155956,-0.0249452
99,-0.033629833,0.031454847,0,-0.0623268,-0.0385627
99.04,-0.010990807,0.015393339,0,-0.00438842,-0.028584
99.08,-0.038138533,0.036309635,0,-0.0421254,-0.0722902
99.12,-0.042649567,0.05465356,0,-0.0236907,-0.104258
99.16,-0.075275267,0.111992243,0,-0.0218498,-0.203976
99.2,-0.102063467,0.158097722,0,-0.0220144,-0.284176
99.24,-0.117555633,0.163654997,0,-0.0481989,-0.304468
99.28,-0.094783933,0.132436631,0,-0.0382458,-0.246106
99.32,-0.1015078,0.185656669,0,0.0112636,-0.315787
